postContent,postId,description
"
					Hi Everyone,,
Im 39 years old, male and have had a mechanical aortic valve for over 5 years now and really have never watched what I eat.  I take 10mg of Coumadin a day and all is fine, i drink on the weekends, i play sports, i pretty much do everything.  Lately over the past 6 months i have put on about 20 extra pounds.  I saw a movie called Fat Sick and Nearly Dead and decided to go on a juicing reboot diet.,
I tried contacting my cardio doc quite a few times but got no response, i was going to ask his advice first but since i have a home monitor i figured i would monitor.,
About three days before the juicing fast of 15 days began i started juicing kale, celery, cucumbers etc.. every morning, 24oz, lunch i would also have a juice and dinner was pretty much normal, chicken, vegetables etc..,
Well the day came to start my actual juicing and I did, 2 days later i checked my INR and it sunk to 1.9, my cardio doc says to stay between 2.5 and 3.5, it typically is about 3.5-4.  I tolerate it being a little high alot better than I do being low.  I know both are dangerous but i had some TIA's when it got low when i was out of the hospital and it freaked me out bad.,
I want to be healthy and try to go vegan and stay away from processed foods and red meats but i feel like everything points to eating fresh green veggies (80%) and fruits (20%) or something similar.  I take 10mg of Coumadin daily and really think that is already a very high dose, many say dose based on your diet so if thats the case i would be taking 15-20mg a day which i think is extremely high and not healthy.,
Can anyone lead me in the right direction here, maybe a book, video etc.. i feel like im at the bottom of a well screaming up and no one can hear me.  I want to be healthy but not die trying if that makes sense?,
Thanks,,
Tommy
				",post_message_533147,shnur
"
					I share your feelings about TIA's.  I take 70 to 75 milligrams of warfarin per week and test weekly using my XS. Your activity level is five times what mine is. ,
Possibly your Vit K intake has drastically increased in a short period of time.  What about carbohydrates, you haven't mentioned them.,
Maybe you could source a nutritionist at your local hospital for expert dietary advice.
				",post_message_533203,shnur
"
					You are binging on Kale, which is the highest possible Vit K containing leafy green! Of COURSE your INR is going to drop. Spinach or cabbage or brussels sprouts have 1/2 to 1/3 as much K per serving, but if you've not been eating many greens in your diet, you are going to have to adjust your doseage.,
There are plenty of vegetarians on warfarin.
				",post_message_533204,shnur
"
					I was just following the juicing / reboot diet to a tee, i had no clue about how much vitamin K was in what, for all i know there is tons of vitamin K in a green apple... im learning though, i would love to hear what vegetarians eat for lunch/dinner on a daily basis and how much of a dosage of Coumadin they are on...,
Thanks,,
Tommy,
				",post_message_533209,shnur
"
					It's easy to lose weight on a drastic diet but almost impossible to keep it off.  You may want to try less drastic changes.  ,
Unless you are pretty savvy (I am not), any major change in diet, if you are on warfarin, should be done with your doctor or nurse practioner's assistance.  At least this is what they told me on discharge this February.  ,
If your cardiologist won't respond, maybe you need a new one, or to see your primary care physician.
				",post_message_533211,shnur
"
					It looked to me like you planned to DOUBLE your dosage of warfarin because you're getting more Vitamin K in you diet.  This large a change in dosage sounds pretty dangerous -- I'd perhaps increase it 10% or so, and re-test in a few days.  You can always add more warfarin.  DOUBLING your dose can bring you way above range - and put you at risk of hemorrhage.  I know TIAs can be pretty scary (I had one last April), but I sure wouldn't want to deal with major bleeding.,
The suggestion to have a medical professional assist with monitoring and management is a good one.
				",post_message_533245,shnur
"
					My mother's pig valve isn't even 2 years old and is failing! she is already in the serious stage.  how often does this happen?  and why?  She's in her early 80's and the thought of going through surgery again is overwhelming.  She was told it would last much longer than this. Wish she could have minimally invasive surgery, but they (Mayo) tell her regular surgery is best.  has anyone else had a similar situation?
				",post_message_508027,shnur
"
					At your mother's age, I'd have to suspect that there is something wrong with the valve itself.  The younger a person is when they get a tissue valve, the quicker they will need a replacement, however, even 2 years in a very young person is very unusual.  What brand valve does she have?  Which valve is it that needs to be replaced?  What did the Mayo say about the early failure?,
I'm so sorry for this news and I'm sure it is shocking.  They do valve surgery on patients this age more and more frequently with good results.  You have a very good medical team behind her.,
Kim
				",post_message_508035,shnur
"
					I can only imagine how heartsick your mother and your family is over this development. When she had her original replacement, she would have received a card stating the particulars of the valve and a way to communicate with the company. I would start with the company to find an answer. As Kim stated, it probably is a valve failure, and the manufacturer wants to know about it too.,
It is a replacement for the aortic valve? Was the original replacement done at Mayo? I think you still have time to investigate options if the valve is still in the serious stage. If it were me, I would try to get a second opinion for what type of surgery can be done, and I would definitely want to know why this valve failed before I had another one put in.,
Please keep us informed and let us help in any way we can.,
Mary
				",post_message_508041,shnur
"
					Thanks Kim and Mary for the posts.  Helps to hear from others.  ,
The cardiologist said there was ""conflicting"" information on her last report and he was going to consult with others and get back to us.  But he did say it's possible they gave her a valve that was too small.  I feel really sick about this now, because I think we threw the paper work that came with the kind of valve she got or what company it was from.  Do you think her medical records would have this info.?  We are thinking of going to Allina in Mlps. for another opinion.  ,
On top of this, my son who is only 15 also has the condition.  We just found out about 1 year ago about him.  (I was tested and don't have it.)  So now I'm thinking how many surgeries will he have to go through in his lifetime?  They tell us he'll need surgery within 10 years or sooner.  life is tough enough as a teenager without this on his mind too.  We aren't telling him about his grandma until we have to.
				",post_message_508051,shnur
"
					Anne,  I'm assuming that since your son has it too, it is her aortic valve?   How is her health otherwise?    If it is her aortic valve, one option to consider is percutaneous replacement of that valve, unless the one she has now is too small which may make that not possible.  The type of valve she received would most certainly be in her surgical notes.  Did she have her original surgery at the Mayo, if so, they typically send out copies of all those notes after each visit/hospital stay.  Others on here are more knowledgeable than me on this, but I didn't realize that a valve being too small could cause it to fail early, I just thought it could cause other issues.,
As for your son, there really is no telling when he will need surgery, and depending on his age at the time, it may be best to consider a mechanical valve for him so he doesn't have to go through numerous surgeries in his lifetime.,
Kim
				",post_message_508061,shnur
